GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
InClassTestJunit,employees,Employee,0,42,0,4,0,14,0,7,0,5
InClassTestJunit,employees,EmployeeList,56,30,6,2,12,9,4,4,0,4
